,STUDYPROGRAM,FACCODE,DEGREETHAI,MAJORNAME,TOTAL,N_01,N_02,N_03,N_04,N_05,N_06,N_07,N_08,N_10,N_11,N_12,N_13,N_19,N_20,N_23,N_25,N_27,N_31,N_58,N_60,N_68,N_72
74,S,26,บริหารธุรกิจบัณฑิต,การจัดการเพื่อเป็นผู้ประกอบการธุรกิจ,23,23,,,,,,,,,,,,,,,,,,,,,
75,S,26,บริหารธุรกิจบัณฑิต,การจัดการโลจิสติกส์ระหว่างประเทศ,107,107,,,,,,,,,,,,,,,,,,,,,
76,S,26,บริหารธุรกิจบัณฑิต,การธนาคารและการเงิน,371,371,,,,,,,,,,,,,,,,,,,,,
77,S,26,บัญชีบัณฑิต,การบัญชี,941,941,,,,,,,,,,,,,,,,,,,,,
78,S,26,บริหารธุรกิจบัณฑิต,,237,237,,,,,,,,,,,,,,,,,,,,,
79,S,26,บริหารธุรกิจบัณฑิต,ระบบสารสนเทศทางการจัดการ,18,18,,,,,,,,,,,,,,,,,,,,,
80,S,26,บริหารธุรกิจบัณฑิต,การตลาด,187,187,,,,,,,,,,,,,,,,,,,,,
81,S,26,สถิติศาสตรบัณฑิต,ประกันภัย,148,148,,,,,,,,,,,,,,,,,,,,,
82,S,26,สถิติศาสตรบัณฑิต,,30,30,,,,,,,,,,,,,,,,,,,,,
83,S,26,สถิติศาสตรบัณฑิต,เทคโนโลยีสารสนเทศเพื่อธุรกิจ,107,107,,,,,,,,,,,,,,,,,,,,,
84,S,26,สถิติศาสตรบัณฑิต,สถิติประยุกต์,48,48,,,,,,,,,,,,,,,,,,,,,
85,S,26,สถิติศาสตรบัณฑิต,สถิติคณิตศาสตร์,33,33,,,,,,,,,,,,,,,,,,,,,
86,I,26,บริหารธุรกิจบัณฑิต,การจัดการธุรกิจระหว่างประเทศ,205,202,,,1,,,1,,,,,,1,,,,,,,,,
87,I,26,บริหารธุรกิจบัณฑิต,การบัญชี,94,94,,,,,,,,,,,,,,,,,,,,,
88,I,26,บริหารธุรกิจบัณฑิต,,299,299,,,,,,,,,,,,,,,,,,,,,
89,S,27,ครุศาสตรบัณฑิต,การศึกษานอกระบบโรงเรียน,54,54,,,,,,,,,,,,,,,,,,,,,
90,S,27,ครุศาสตรบัณฑิต,เทคโนโลยีการศึกษา,50,50,,,,,,,,,,,,,,,,,,,,,
91,S,27,ครุศาสตรบัณฑิต,สุขศึกษาและพลศึกษา,220,220,,,,,,,,,,,,,,,,,,,,,
92,S,27,ครุศาสตรบัณฑิต,ศิลปศึกษา,145,145,,,,,,,,,,,,,,,,,,,,,
93,S,27,ครุศาสตรบัณฑิต,มัธยมศึกษา,833,833,,,,,,,,,,,,,,,,,,,,,
94,S,27,ครุศาสตรบัณฑิต,ประถมศึกษา,143,143,,,,,,,,,,,,,,,,,,,,,
95,S,27,ครุศาสตรบัณฑิต,ธุรกิจศึกษา,107,107,,,,,,,,,,,,,,,,,,,,,
96,S,27,ครุศาสตรบัณฑิต,การศึกษาปฐมวัย,91,91,,,,,,,,,,,,,,,,,,,,,
97,S,27,ครุศาสตรบัณฑิต,ดนตรีศึกษา,157,157,,,,,,,,,,,,,,,,,,,,,
98,S,27,ครุศาสตรบัณฑิต,จิตวิทยาการปรึกษา การแนะแนวและการศึกษาพิเศษ,43,43,,,,,,,,,,,,,,,,,,,,,
99,S,28,นิเทศศาสตรบัณฑิต,การกระจายเสียง,46,46,,,,,,,,,,,,,,,,,,,,,
100,S,28,นิเทศศาสตรบัณฑิต,การภาพยนตร์และภาพนิ่ง,47,47,,,,,,,,,,,,,,,,,,,,,
101,S,28,นิเทศศาสตรบัณฑิต,การประชาสัมพันธ์,68,68,,,,,,,,,,,,,,,,,,,,,
102,S,28,นิเทศศาสตรบัณฑิต,การโฆษณา,91,91,,,,,,,,,,,,,,,,,,,,,
103,S,28,นิเทศศาสตรบัณฑิต,วารสารสนเทศ,45,45,,,,,,,,,,,,,,,,,,,,,
104,S,28,นิเทศศาสตรบัณฑิต,,288,288,,,,,,,,,,,,,,,,,,,,,
105,S,28,นิเทศศาสตรบัณฑิต,สื่อสารการแสดง,20,20,,,,,,,,,,,,,,,,,,,,,
106,S,28,นิเทศศาสตรบัณฑิต,วาทวิทยา,7,7,,,,,,,,,,,,,,,,,,,,,
107,I,28,นิเทศศาสตรบัณฑิต,การจัดการการสื่อสาร,343,332,2,,2,,,3,,,,2,,,1,,1,,,,,,
108,E,28,นิเทศศาสตรบัณฑิต,การจัดการการสื่อสาร,1,1,,,,,,,,,,,,,,,,,,,,,
109,S,29,เศรษฐศาสตรบัณฑิต,เศรษฐศาสตร์,557,557,,,,,,,,,,,,,,,,,,,,,
110,I,29,ศิลปศาสตรบัณฑิต,เศรษฐศาสตร์,504,490,5,1,,,1,6,,,,,,,,,1,,,,,,
111,S,30,แพทยศาสตรบัณฑิต,แพทยศาสตร์,1866,1866,,,,,,,,,,,,,,,,,,,,,
112,S,31,สัตวแพทยศาสตรบัณฑิต,สัตวแพทยศาสตร์,658,658,,,,,,,,,,,,,,,,,,,,,
113,S,32,ทันตแพทยศาสตรบัณฑิต,ทันตแพทยศาสตร์,775,775,,,,,,,,,,,,,,,,,,,,,
114,S,33,เภสัชศาสตรบัณฑิต,การบริบาลทางเภสัชกรรม,496,496,,,,,,,,,,,,,,,,,,,,,
